"","SRR16832121","SRR16832122","SRR16832123","SRR16832125","SRR16832126","SRR16832127"
"hsa-let-7a-1",139,193,306,394,86,110
"hsa-let-7a-2",137,190,303,390,85,108
"hsa-let-7a-3",138,192,306,396,86,110
"hsa-let-7b",131,123,121,155,45,70
"hsa-let-7c",8,14,14,97,15,13
"hsa-let-7d",18,24,28,25,16,15
"hsa-let-7e",3,8,8,10,15,4
"hsa-let-7f-1",254,416,481,562,292,306
"hsa-let-7f-2",256,430,487,566,295,314
"hsa-let-7g",280,429,459,570,206,229
"hsa-let-7i",292,225,261,500,174,184
"hsa-mir-1-1",71,38,28,45,449,238
"hsa-mir-1-2",74,40,30,45,482,267
"hsa-mir-100",45,28,42,202,160,112
"hsa-mir-101-1",230,327,235,381,224,192
"hsa-mir-101-2",233,330,239,390,230,196
"hsa-mir-10395",0,0,0,1,0,0
"hsa-mir-10399",0,0,0,0,0,1
"hsa-mir-103a-1",123,103,130,169,32,32
"hsa-mir-103a-2",123,105,131,170,32,32
"hsa-mir-10401",1,0,0,0,0,0
"hsa-mir-10527",0,0,0,2,0,0
"hsa-mir-106a",1,4,3,4,2,3
"hsa-mir-106b",41,27,36,41,3,2
"hsa-mir-107",14,9,19,35,5,7
"hsa-mir-10a",441,612,671,491,423,379
"hsa-mir-10b",114,144,103,496,59,114
"hsa-mir-11400",1,0,0,0,0,0
"hsa-mir-1179",0,0,0,1,0,0
"hsa-mir-1180",3,0,0,0,0,0
"hsa-mir-12136",1,0,0,1,0,0
"hsa-mir-122",1,1,2,0,2,0
"hsa-mir-1234",0,0,0,1,0,0
"hsa-mir-1246",0,0,0,4,0,0
"hsa-mir-1247",0,0,1,0,0,0
"hsa-mir-125a",9,10,16,45,19,11
"hsa-mir-125b-1",9,3,16,80,34,14
"hsa-mir-125b-2",8,3,16,83,30,14
"hsa-mir-126",105,140,149,1531,113,164
"hsa-mir-1260a",10,5,9,1,0,0
"hsa-mir-1260b",11,5,10,2,0,0
