#miRNA	read_count	precursor	total	seq	seq(norm)
hsa-let-7a-3p	3.00	hsa-let-7a-1	3.00	3.00	97.90
hsa-let-7a-5p	107.00	hsa-let-7a-1	107.00	107.00	3491.83
hsa-let-7a-5p	108.00	hsa-let-7a-2	108.00	108.00	3524.46
hsa-let-7a-2-3p	0.00	hsa-let-7a-2	0.00	0	0
hsa-let-7a-3p	3.00	hsa-let-7a-3	3.00	3.00	97.90
hsa-let-7a-5p	107.00	hsa-let-7a-3	107.00	107.00	3491.83
hsa-let-7b-5p	70.00	hsa-let-7b	70.00	70.00	2284.37
hsa-let-7b-3p	0.00	hsa-let-7b	0.00	0	0
hsa-let-7c-3p	0.00	hsa-let-7c	0.00	0	0
hsa-let-7c-5p	13.00	hsa-let-7c	13.00	13.00	424.24
hsa-let-7d-3p	8.00	hsa-let-7d	8.00	8.00	261.07
hsa-let-7d-5p	7.00	hsa-let-7d	7.00	7.00	228.44
hsa-let-7e-3p	1.00	hsa-let-7e	1.00	1.00	32.63
hsa-let-7e-5p	3.00	hsa-let-7e	3.00	3.00	97.90
hsa-let-7f-5p	305.00	hsa-let-7f-1	305.00	305.00	9953.33
hsa-let-7f-1-3p	1.00	hsa-let-7f-1	1.00	1.00	32.63
hsa-let-7f-2-3p	1.00	hsa-let-7f-2	1.00	1.00	32.63
hsa-let-7f-5p	313.00	hsa-let-7f-2	313.00	313.00	10214.40
hsa-let-7g-5p	229.00	hsa-let-7g	229.00	229.00	7473.16
hsa-let-7g-3p	0.00	hsa-let-7g	0.00	0	0
hsa-let-7i-3p	1.00	hsa-let-7i	1.00	1.00	32.63
hsa-let-7i-5p	183.00	hsa-let-7i	183.00	183.00	5972.00
hsa-miR-1-3p	238.00	hsa-mir-1-1	238.00	238.00	7766.86
hsa-miR-1-5p	0.00	hsa-mir-1-1	0.00	0	0
hsa-miR-1-3p	267.00	hsa-mir-1-2	267.00	267.00	8713.25
hsa-miR-100-3p	0.00	hsa-mir-100	0.00	0	0
hsa-miR-100-5p	112.00	hsa-mir-100	112.00	112.00	3654.99
hsa-miR-101-5p	0.00	hsa-mir-101-1	0.00	0	0
hsa-miR-101-3p	192.00	hsa-mir-101-1	192.00	192.00	6265.71
hsa-miR-101-3p	196.00	hsa-mir-101-2	196.00	196.00	6396.24
hsa-miR-101-2-5p	0.00	hsa-mir-101-2	0.00	0	0
hsa-miR-10226	0.00	hsa-mir-10226	0.00	0	0
hsa-miR-10392-3p	0.00	hsa-mir-10392	0.00	0	0
hsa-miR-10392-5p	0.00	hsa-mir-10392	0.00	0	0
hsa-miR-10393-3p	0.00	hsa-mir-10393	0.00	0	0
hsa-miR-10393-5p	0.00	hsa-mir-10393	0.00	0	0
hsa-miR-10394-5p	0.00	hsa-mir-10394	0.00	0	0
hsa-miR-10394-3p	0.00	hsa-mir-10394	0.00	0	0
hsa-miR-10395-5p	0.00	hsa-mir-10395	0.00	0	0
hsa-miR-10395-3p	0.00	hsa-mir-10395	0.00	0	0
hsa-miR-10396a-5p	0.00	hsa-mir-10396a	0.00	0	0
hsa-miR-10396a-3p	0.00	hsa-mir-10396a	0.00	0	0
hsa-miR-10396b-3p	0.00	hsa-mir-10396b	0.00	0	0
hsa-miR-10396b-5p	0.00	hsa-mir-10396b	0.00	0	0
hsa-miR-10397-5p	0.00	hsa-mir-10397	0.00	0	0
hsa-miR-10397-3p	0.00	hsa-mir-10397	0.00	0	0
hsa-miR-10398-5p	0.00	hsa-mir-10398	0.00	0	0
hsa-miR-10398-3p	0.00	hsa-mir-10398	0.00	0	0
hsa-miR-10399-3p	1.00	hsa-mir-10399	1.00	1.00	32.63
hsa-miR-10399-5p	0.00	hsa-mir-10399	0.00	0	0
hsa-miR-103a-1-5p	0.00	hsa-mir-103a-1	0.00	0	0
hsa-miR-103a-3p	32.00	hsa-mir-103a-1	32.00	32.00	1044.28
hsa-miR-103a-2-5p	0.00	hsa-mir-103a-2	0.00	0	0
hsa-miR-103a-3p	32.00	hsa-mir-103a-2	32.00	32.00	1044.28
hsa-miR-103b	0.00	hsa-mir-103b-1	0.00	0	0
hsa-miR-103b	0.00	hsa-mir-103b-2	0.00	0	0
hsa-miR-10400-3p	0.00	hsa-mir-10400	0.00	0	0
hsa-miR-10400-5p	0.00	hsa-mir-10400	0.00	0	0
hsa-miR-10401-3p	0.00	hsa-mir-10401	0.00	0	0
hsa-miR-10401-5p	0.00	hsa-mir-10401	0.00	0	0
hsa-miR-105-3p	0.00	hsa-mir-105-1	0.00	0	0
hsa-miR-105-5p	0.00	hsa-mir-105-1	0.00	0	0
hsa-miR-105-3p	0.00	hsa-mir-105-2	0.00	0	0
hsa-miR-105-5p	0.00	hsa-mir-105-2	0.00	0	0
hsa-miR-10522-5p	0.00	hsa-mir-10522	0.00	0	0
hsa-miR-10523-5p	0.00	hsa-mir-10523	0.00	0	0
hsa-miR-10524-5p	0.00	hsa-mir-10524	0.00	0	0
hsa-miR-10525-3p	0.00	hsa-mir-10525	0.00	0	0
hsa-miR-10526-3p	0.00	hsa-mir-10526	0.00	0	0
hsa-miR-10527-5p	0.00	hsa-mir-10527	0.00	0	0
hsa-miR-106a-3p	0.00	hsa-mir-106a	0.00	0	0
hsa-miR-106a-5p	3.00	hsa-mir-106a	3.00	3.00	97.90
hsa-miR-106b-5p	2.00	hsa-mir-106b	2.00	2.00	65.27
hsa-miR-106b-3p	0.00	hsa-mir-106b	0.00	0	0
hsa-miR-107	7.00	hsa-mir-107	7.00	7.00	228.44
hsa-miR-10a-5p	375.00	hsa-mir-10a	375.00	375.00	12237.71
hsa-miR-10a-3p	4.00	hsa-mir-10a	4.00	4.00	130.54
hsa-miR-10b-5p	114.00	hsa-mir-10b	114.00	114.00	3720.26
hsa-miR-10b-3p	0.00	hsa-mir-10b	0.00	0	0
hsa-miR-11181-3p	0.00	hsa-mir-11181	0.00	0	0
hsa-miR-11181-5p	0.00	hsa-mir-11181	0.00	0	0
hsa-miR-11399	0.00	hsa-mir-11399	0.00	0	0
hsa-miR-11400	0.00	hsa-mir-11400	0.00	0	0
hsa-miR-11401	0.00	hsa-mir-11401	0.00	0	0
hsa-miR-1178-3p	0.00	hsa-mir-1178	0.00	0	0
hsa-miR-1178-5p	0.00	hsa-mir-1178	0.00	0	0
hsa-miR-1179	0.00	hsa-mir-1179	0.00	0	0
hsa-miR-1180-5p	0.00	hsa-mir-1180	0.00	0	0
hsa-miR-1180-3p	0.00	hsa-mir-1180	0.00	0	0
hsa-miR-1181	0.00	hsa-mir-1181	0.00	0	0
hsa-miR-1182	0.00	hsa-mir-1182	0.00	0	0
hsa-miR-1183	0.00	hsa-mir-1183	0.00	0	0
hsa-miR-1184	0.00	hsa-mir-1184-1	0.00	0	0
hsa-miR-1184	0.00	hsa-mir-1184-2	0.00	0	0
hsa-miR-1184	0.00	hsa-mir-1184-3	0.00	0	0
hsa-miR-1185-5p	0.00	hsa-mir-1185-1	0.00	0	0
hsa-miR-1185-1-3p	0.00	hsa-mir-1185-1	0.00	0	0
hsa-miR-1185-5p	0.00	hsa-mir-1185-2	0.00	0	0
hsa-miR-1185-2-3p	0.00	hsa-mir-1185-2	0.00	0	0
hsa-miR-1193	0.00	hsa-mir-1193	0.00	0	0
hsa-miR-1197	0.00	hsa-mir-1197	0.00	0	0
hsa-miR-1199-5p	0.00	hsa-mir-1199	0.00	0	0
hsa-miR-1199-3p	0.00	hsa-mir-1199	0.00	0	0
hsa-miR-1200	0.00	hsa-mir-1200	0.00	0	0
hsa-miR-1202	0.00	hsa-mir-1202	0.00	0	0
hsa-miR-1203	0.00	hsa-mir-1203	0.00	0	0
hsa-miR-1204	0.00	hsa-mir-1204	0.00	0	0
hsa-miR-1205	0.00	hsa-mir-1205	0.00	0	0
hsa-miR-1206	0.00	hsa-mir-1206	0.00	0	0
hsa-miR-1207-5p	0.00	hsa-mir-1207	0.00	0	0
hsa-miR-1207-3p	0.00	hsa-mir-1207	0.00	0	0
hsa-miR-1208	0.00	hsa-mir-1208	0.00	0	0
hsa-miR-12113	0.00	hsa-mir-12113	0.00	0	0
hsa-miR-12114	0.00	hsa-mir-12114	0.00	0	0
hsa-miR-12115	0.00	hsa-mir-12115	0.00	0	0
hsa-miR-12116	0.00	hsa-mir-12116	0.00	0	0
hsa-miR-12117	0.00	hsa-mir-12117	0.00	0	0
hsa-miR-12118	0.00	hsa-mir-12118	0.00	0	0
hsa-miR-12119	0.00	hsa-mir-12119	0.00	0	0
hsa-miR-12120	0.00	hsa-mir-12120	0.00	0	0
hsa-miR-12121	0.00	hsa-mir-12121	0.00	0	0
hsa-miR-12122	0.00	hsa-mir-12122	0.00	0	0
hsa-miR-12123	0.00	hsa-mir-12123	0.00	0	0
hsa-miR-12124	0.00	hsa-mir-12124	0.00	0	0
hsa-miR-12125	0.00	hsa-mir-12125	0.00	0	0
hsa-miR-12126	0.00	hsa-mir-12126	0.00	0	0
hsa-miR-12127	0.00	hsa-mir-12127	0.00	0	0
hsa-miR-12128	0.00	hsa-mir-12128	0.00	0	0
hsa-miR-12129	0.00	hsa-mir-12129	0.00	0	0
hsa-miR-12130	0.00	hsa-mir-12130	0.00	0	0
hsa-miR-12131	0.00	hsa-mir-12131	0.00	0	0
hsa-miR-12132	0.00	hsa-mir-12132	0.00	0	0
hsa-miR-12133	0.00	hsa-mir-12133	0.00	0	0
hsa-miR-12135	0.00	hsa-mir-12135	0.00	0	0
hsa-miR-12136	0.00	hsa-mir-12136	0.00	0	0
hsa-miR-122-3p	0.00	hsa-mir-122	0.00	0	0
hsa-miR-122-5p	0.00	hsa-mir-122	0.00	0	0
hsa-miR-1224-5p	0.00	hsa-mir-1224	0.00	0	0
hsa-miR-1224-3p	0.00	hsa-mir-1224	0.00	0	0
hsa-miR-1225-3p	0.00	hsa-mir-1225	0.00	0	0
hsa-miR-1225-5p	0.00	hsa-mir-1225	0.00	0	0
hsa-miR-1226-3p	0.00	hsa-mir-1226	0.00	0	0
hsa-miR-1226-5p	0.00	hsa-mir-1226	0.00	0	0
hsa-miR-1227-3p	0.00	hsa-mir-1227	0.00	0	0
hsa-miR-1227-5p	0.00	hsa-mir-1227	0.00	0	0
hsa-miR-1228-3p	0.00	hsa-mir-1228	0.00	0	0
hsa-miR-1228-5p	0.00	hsa-mir-1228	0.00	0	0
hsa-miR-1229-3p	0.00	hsa-mir-1229	0.00	0	0
hsa-miR-1229-5p	0.00	hsa-mir-1229	0.00	0	0
hsa-miR-122b-3p	0.00	hsa-mir-122b	0.00	0	0
hsa-miR-122b-5p	0.00	hsa-mir-122b	0.00	0	0
hsa-miR-1231	0.00	hsa-mir-1231	0.00	0	0
hsa-miR-1233-5p	0.00	hsa-mir-1233-1	0.00	0	0
hsa-miR-1233-3p	0.00	hsa-mir-1233-1	0.00	0	0
hsa-miR-1233-5p	0.00	hsa-mir-1233-2	0.00	0	0
hsa-miR-1233-3p	0.00	hsa-mir-1233-2	0.00	0	0
hsa-miR-1234-3p	0.00	hsa-mir-1234	0.00	0	0
hsa-miR-1236-5p	0.00	hsa-mir-1236	0.00	0	0
hsa-miR-1236-3p	0.00	hsa-mir-1236	0.00	0	0
hsa-miR-1237-5p	0.00	hsa-mir-1237	0.00	0	0
hsa-miR-1237-3p	0.00	hsa-mir-1237	0.00	0	0
hsa-miR-1238-5p	0.00	hsa-mir-1238	0.00	0	0
hsa-miR-1238-3p	0.00	hsa-mir-1238	0.00	0	0
hsa-miR-124-5p	0.00	hsa-mir-124-1	0.00	0	0
hsa-miR-124-3p	0.00	hsa-mir-124-1	0.00	0	0
hsa-miR-124-5p	0.00	hsa-mir-124-2	0.00	0	0
hsa-miR-124-3p	0.00	hsa-mir-124-2	0.00	0	0
hsa-miR-124-5p	0.00	hsa-mir-124-3	0.00	0	0
hsa-miR-124-3p	0.00	hsa-mir-124-3	0.00	0	0
hsa-miR-1243	0.00	hsa-mir-1243	0.00	0	0
hsa-miR-1244	0.00	hsa-mir-1244-1	0.00	0	0
hsa-miR-1244	0.00	hsa-mir-1244-2	0.00	0	0
hsa-miR-1244	0.00	hsa-mir-1244-3	0.00	0	0
hsa-miR-1244	0.00	hsa-mir-1244-4	0.00	0	0
hsa-miR-1245a	0.00	hsa-mir-1245a	0.00	0	0
hsa-miR-1245b-5p	0.00	hsa-mir-1245b	0.00	0	0
hsa-miR-1245b-3p	0.00	hsa-mir-1245b	0.00	0	0
hsa-miR-1246	0.00	hsa-mir-1246	0.00	0	0
hsa-miR-1247-3p	0.00	hsa-mir-1247	0.00	0	0
hsa-miR-1247-5p	0.00	hsa-mir-1247	0.00	0	0
hsa-miR-1248	0.00	hsa-mir-1248	0.00	0	0
hsa-miR-1249-5p	0.00	hsa-mir-1249	0.00	0	0
hsa-miR-1249-3p	0.00	hsa-mir-1249	0.00	0	0
hsa-miR-1250-5p	0.00	hsa-mir-1250	0.00	0	0
hsa-miR-1250-3p	0.00	hsa-mir-1250	0.00	0	0
hsa-miR-1251-5p	0.00	hsa-mir-1251	0.00	0	0
hsa-miR-1251-3p	0.00	hsa-mir-1251	0.00	0	0
hsa-miR-1252-3p	0.00	hsa-mir-1252	0.00	0	0
hsa-miR-1252-5p	0.00	hsa-mir-1252	0.00	0	0
hsa-miR-1253	0.00	hsa-mir-1253	0.00	0	0
hsa-miR-1255a	0.00	hsa-mir-1255a	0.00	0	0
hsa-miR-1255b-5p	0.00	hsa-mir-1255b-1	0.00	0	0
hsa-miR-1255b-5p	0.00	hsa-mir-1255b-2	0.00	0	0
hsa-miR-1255b-2-3p	0.00	hsa-mir-1255b-2	0.00	0	0
hsa-miR-1256	0.00	hsa-mir-1256	0.00	0	0
hsa-miR-1257	0.00	hsa-mir-1257	0.00	0	0
hsa-miR-1258	0.00	hsa-mir-1258	0.00	0	0
hsa-miR-125a-5p	11.00	hsa-mir-125a	11.00	11.00	358.97
hsa-miR-125a-3p	0.00	hsa-mir-125a	0.00	0	0
hsa-miR-125b-5p	14.00	hsa-mir-125b-1	14.00	14.00	456.87
hsa-miR-125b-1-3p	0.00	hsa-mir-125b-1	0.00	0	0
hsa-miR-125b-2-3p	0.00	hsa-mir-125b-2	0.00	0	0
hsa-miR-125b-5p	14.00	hsa-mir-125b-2	14.00	14.00	456.87
hsa-miR-126-5p	11.00	hsa-mir-126	11.00	11.00	358.97
hsa-miR-126-3p	153.00	hsa-mir-126	153.00	153.00	4992.98
hsa-miR-1260a	0.00	hsa-mir-1260a	0.00	0	0
hsa-miR-1260b	0.00	hsa-mir-1260b	0.00	0	0
hsa-miR-1261	0.00	hsa-mir-1261	0.00	0	0
hsa-miR-1262	0.00	hsa-mir-1262	0.00	0	0
hsa-miR-1263	0.00	hsa-mir-1263	0.00	0	0
hsa-miR-1264	0.00	hsa-mir-1264	0.00	0	0
hsa-miR-1265	0.00	hsa-mir-1265	0.00	0	0
hsa-miR-1266-3p	0.00	hsa-mir-1266	0.00	0	0
hsa-miR-1266-5p	0.00	hsa-mir-1266	0.00	0	0
hsa-miR-1267	0.00	hsa-mir-1267	0.00	0	0
hsa-miR-1268a	0.00	hsa-mir-1268a	0.00	0	0
hsa-miR-1268b	0.00	hsa-mir-1268b	0.00	0	0
hsa-miR-1269a	0.00	hsa-mir-1269a	0.00	0	0
hsa-miR-1269b	0.00	hsa-mir-1269b	0.00	0	0
hsa-miR-127-3p	0.00	hsa-mir-127	0.00	0	0
hsa-miR-127-5p	1.00	hsa-mir-127	1.00	1.00	32.63
hsa-miR-1270	0.00	hsa-mir-1270	0.00	0	0
hsa-miR-1271-3p	0.00	hsa-mir-1271	0.00	0	0
hsa-miR-1271-5p	0.00	hsa-mir-1271	0.00	0	0
hsa-miR-1272	0.00	hsa-mir-1272	0.00	0	0
hsa-miR-1273c	0.00	hsa-mir-1273c	0.00	0	0
hsa-miR-1273h-5p	0.00	hsa-mir-1273h	0.00	0	0
hsa-miR-1273h-3p	0.00	hsa-mir-1273h	0.00	0	0
hsa-miR-1275	0.00	hsa-mir-1275	0.00	0	0
hsa-miR-1276	0.00	hsa-mir-1276	0.00	0	0
hsa-miR-1277-5p	0.00	hsa-mir-1277	0.00	0	0
hsa-miR-1277-3p	0.00	hsa-mir-1277	0.00	0	0
hsa-miR-1278	0.00	hsa-mir-1278	0.00	0	0
hsa-miR-1279	0.00	hsa-mir-1279	0.00	0	0
hsa-miR-128-1-5p	0.00	hsa-mir-128-1	0.00	0	0
hsa-miR-128-3p	3.00	hsa-mir-128-1	3.00	3.00	97.90
hsa-miR-128-3p	2.00	hsa-mir-128-2	2.00	2.00	65.27
hsa-miR-128-2-5p	0.00	hsa-mir-128-2	0.00	0	0
hsa-miR-1281	0.00	hsa-mir-1281	0.00	0	0
hsa-miR-1282	0.00	hsa-mir-1282	0.00	0	0
hsa-miR-1283	0.00	hsa-mir-1283-1	0.00	0	0
hsa-miR-1283	0.00	hsa-mir-1283-2	0.00	0	0
hsa-miR-1284	0.00	hsa-mir-1284	0.00	0	0
hsa-miR-1285-3p	0.00	hsa-mir-1285-1	0.00	0	0
hsa-miR-1285-5p	0.00	hsa-mir-1285-1	0.00	0	0
hsa-miR-1285-3p	0.00	hsa-mir-1285-2	0.00	0	0
hsa-miR-1286	0.00	hsa-mir-1286	0.00	0	0
hsa-miR-1287-5p	0.00	hsa-mir-1287	0.00	0	0
hsa-miR-1287-3p	0.00	hsa-mir-1287	0.00	0	0
hsa-miR-1288-5p	0.00	hsa-mir-1288	0.00	0	0
hsa-miR-1288-3p	0.00	hsa-mir-1288	0.00	0	0
hsa-miR-1289	0.00	hsa-mir-1289-1	0.00	0	0
hsa-miR-1289	0.00	hsa-mir-1289-2	0.00	0	0
hsa-miR-129-1-3p	0.00	hsa-mir-129-1	0.00	0	0
hsa-miR-129-5p	0.00	hsa-mir-129-1	0.00	0	0
hsa-miR-129-5p	0.00	hsa-mir-129-2	0.00	0	0
